ScenarioID,ParallelShift_bps,TwistFactor_bps,ButterflyFactor_bps,PnL_DurationEffect_INR,PnL_ConvexityEffect_INR,PnL_Total_INR,PnL_Pct,VaR_Contribution,YieldChange,PortfolioPnL_INR,Loss_INR,PnL_Bucket
165,-1.85,49.27,-29.94,24887.86,24.09,24911.96,0.0777,24911.96,-0.000185,24952.834559888408,-24952.834559888408,"(-127708.19, 339694.345]"
166,-119.01,62.38,-26.07,1603664.31,100035.6,1703699.91,5.3142,1703699.91,-0.011901,1703688.1403272692,-1703688.1403272692,"(1274499.417, 1741901.952]"
167,-71.68,-7.99,-3.53,965917.71,36291.75,1002209.45,3.1261,1002209.45,-0.007168000000000001,1002173.7509403276,-1002173.7509403276,"(807096.881, 1274499.417]"
168,4.45,111.08,-16.78,-59956.89,139.83,-59817.06,-0.1866,59817.06,0.00044500000000000003,-59823.675678294436,59823.675678294436,"(-127708.19, 339694.345]"
169,73.61,-20.86,46.45,-991854.74,38266.94,-953587.79,-2.9744,953587.79,0.007361,-953621.5839797262,953621.5839797262,"(-1062513.261, -595110.726]"
170,-65.49,-29.08,56.81,882432.03,30289.36,912721.4,2.847,912721.4,-0.006548999999999999,912766.8410892778,-912766.8410892778,"(807096.881, 1274499.417]"
171,57.47,45.42,-22.48,-774394.01,23326.61,-751067.4,-2.3427,751067.4,0.0057469999999999995,-751078.272556332,751078.272556332,"(-1062513.261, -595110.726]"
172,166.85,-54.33,-41.72,-2248232.49,196612.02,-2051620.47,-6.3994,2051620.47,0.016685,-2051673.2212672718,2051673.2212672718,"(-2464720.868, -1997318.332]"
173,-6.15,20.2,6.42,82840.85,266.94,83107.79,0.2592,83107.79,-0.000615,83138.0923833623,-83138.0923833623,"(-127708.19, 339694.345]"
174,-114.35,-9.36,-68.32,1540809.34,92347.56,1633156.9,5.0942,1633156.9,-0.011434999999999999,1633214.2947804772,-1633214.2947804772,"(1274499.417, 1741901.952]"
175,-52.04,45.47,12.03,701171.52,19123.89,720295.4,2.2468,720295.4,-0.005204,720363.9046530626,-720363.9046530626,"(339694.345, 807096.881]"
176,-22.53,20.77,19.73,303563.5,3584.48,307147.98,0.9581,307147.98,-0.0022530000000000002,307175.79430070997,-307175.79430070997,"(-127708.19, 339694.345]"
177,95.56,21.17,-4.92,-1287724.78,64502.08,-1223222.69,-3.8155,1223222.69,0.009556,-1223170.3785149653,1223170.3785149653,"(-1529915.797, -1062513.261]"
178,-124.9,-35.75,40.97,1683061.24,110186.27,1793247.51,5.5935,1793247.51,-0.012490000000000001,1793202.3345146726,-1793202.3345146726,"(1741901.952, 2209304.488]"
179,10.77,-71.4,13.13,-145066.15,818.58,-144247.57,-0.4499,144247.57,0.001077,-144305.99479223345,144305.99479223345,"(-595110.726, -127708.19]"
180,99.0,-2.48,-1.82,-1334082.9,69229.83,-1264853.07,-3.9453,1264853.07,0.0099,-1264797.1344447245,1264797.1344447245,"(-1529915.797, -1062513.261]"
181,26.35,40.61,-12.92,-355074.11,4904.17,-350169.94,-1.0923,350169.94,0.002635,-350161.0883019012,350161.0883019012,"(-595110.726, -127708.19]"
182,-22.22,0.2,47.44,299468.11,3488.42,302956.53,0.945,302956.53,-0.002222,302900.5794527915,-302900.5794527915,"(-127708.19, 339694.345]"
183,15.98,-71.93,27.56,-215329.75,1803.58,-213526.17,-0.666,213526.17,0.001598,-213526.1626882254,213526.1626882254,"(-595110.726, -127708.19]"
184,97.93,-100.1,37.95,-1319648.62,67739.85,-1251908.76,-3.905,1251908.76,0.009793000000000001,-1251867.1879446323,1251867.1879446323,"(-1529915.797, -1062513.261]"
185,-193.98,30.51,12.38,2613833.04,265756.15,2879589.19,8.9821,2879589.19,-0.019398,2879634.4874591045,-2879634.4874591045,"(2676707.023, 3144109.559]"
186,45.92,-37.15,-14.75,-618772.18,14893.24,-603878.94,-1.8836,603878.94,0.004592000000000001,-603876.7259673335,603876.7259673335,"(-1062513.261, -595110.726]"
187,-8.33,20.58,-20.21,112303.07,490.58,112793.66,0.3518,112793.66,-0.000833,112736.43782657945,-112736.43782657945,"(-127708.19, 339694.345]"
188,73.92,-68.05,39.66,-996123.39,38597.03,-957526.36,-2.9867,957526.36,0.007392,-957475.8039781833,957475.8039781833,"(-1062513.261, -595110.726]"
189,-18.5,-4.38,37.96,249301.1,2417.55,251718.65,0.7852,251718.65,-0.00185,251703.884941801,-251703.884941801,"(-127708.19, 339694.345]"
190,18.39,-27.47,-13.99,-247832.86,2389.16,-245443.7,-0.7656,245443.7,0.0018390000000000001,-245415.76871151093,245415.76871151093,"(-595110.726, -127708.19]"
191,94.45,29.55,-4.34,-1272769.3,63012.54,-1209756.76,-3.7735,1209756.76,0.009445,-1209702.81824149,1209702.81824149,"(-1529915.797, -1062513.261]"
192,194.88,66.0,12.81,-2626030.59,268242.26,-2357788.33,-7.3544,2357788.33,0.019488,-2357763.674992329,2357763.674992329,"(-2464720.868, -1997318.332]"
193,-45.92,-16.77,17.69,618716.66,14890.57,633607.23,1.9764,633607.23,-0.004592000000000001,633662.9004888835,-633662.9004888835,"(339694.345, 807096.881]"
194,-15.92,-7.69,-2.07,214486.82,1789.49,216276.31,0.6746,216276.31,-0.001592,216311.29986526445,-216311.29986526445,"(-127708.19, 339694.345]"
195,-170.04,-13.92,50.61,2291227.4,204203.89,2495431.29,7.7838,2495431.29,-0.017004,2495493.800207054,-2495493.800207054,"(2209304.488, 2676707.023]"
196,-81.61,-35.63,0.79,1099745.92,47044.88,1146790.8,3.5771,1146790.8,-0.008161,1146730.9088946031,-1146730.9088946031,"(807096.881, 1274499.417]"
197,70.12,115.63,9.16,-944834.16,34724.72,-910109.44,-2.8388,910109.44,0.007012000000000001,-910136.8588469882,910136.8588469882,"(-1062513.261, -595110.726]"
198,-72.52,-1.1,-29.43,977157.21,37141.25,1014298.46,3.1638,1014298.46,-0.007252,1014348.221788265,-1014348.221788265,"(807096.881, 1274499.417]"
199,-61.8,14.23,12.01,832693.79,26971.08,859664.86,2.6815,859664.86,-0.00618,859726.8378795556,-859726.8378795556,"(807096.881, 1274499.417]"
200,182.08,-4.72,-19.23,-2453550.48,234162.65,-2219387.83,-6.9227,2219387.83,0.018208000000000002,-2219363.2352054366,2219363.2352054366,"(-2464720.868, -1997318.332]"
201,75.13,80.32,80.66,-1012427.5,39870.85,-972556.65,-3.0336,972556.65,0.007513,-972506.7049164969,972506.7049164969,"(-1062513.261, -595110.726]"
202,49.14,4.99,32.72,-662200.58,17057.16,-645143.42,-2.0123,645143.42,0.004914,-645104.1773285149,645104.1773285149,"(-1062513.261, -595110.726]"
203,1.4,66.12,-7.64,-18832.8,13.8,-18819.01,-0.0587,18819.01,0.00014,-18851.090112489943,18851.090112489943,"(-127708.19, 339694.345]"
204,-33.82,-99.35,11.81,455687.08,8077.2,463764.28,1.4466,463764.28,-0.003382,463801.34205999365,-463801.34205999365,"(339694.345, 807096.881]"
205,99.37,-8.06,6.94,-1339060.3,69747.38,-1269312.92,-3.9593,1269312.92,0.009937,-1269264.474345004,1269264.474345004,"(-1529915.797, -1062513.261]"
206,95.6,-59.75,18.75,-1288165.78,64546.27,-1223619.51,-3.8167,1223619.51,0.009559999999999999,-1223655.3711104551,1223655.3711104551,"(-1529915.797, -1062513.261]"
207,114.4,28.27,65.7,-1541515.38,92432.21,-1449083.17,-4.52,1449083.17,0.01144,-1449100.2803067216,1449100.2803067216,"(-1529915.797, -1062513.261]"
208,74.38,-45.99,5.1,-1002317.45,39078.53,-963238.92,-3.0045,963238.92,0.007437999999999999,-963192.4674699969,963192.4674699969,"(-1062513.261, -595110.726]"
209,-116.99,-46.19,15.21,1576482.38,96673.15,1673155.53,5.2189,1673155.53,-0.011699,1673101.7269758913,-1673101.7269758913,"(1274499.417, 1741901.952]"
210,-148.85,1.9,-2.89,2005778.69,156492.55,2162271.23,6.7446,2162271.23,-0.014884999999999999,2162233.801546163,-2162233.801546163,"(1741901.952, 2209304.488]"
211,-97.89,-1.4,44.3,1319113.99,67684.98,1386798.96,4.3257,1386798.96,-0.009789,1386742.66482684,-1386742.66482684,"(1274499.417, 1741901.952]"
212,-21.0,71.16,46.77,282909.97,3113.32,286023.3,0.8922,286023.3,-0.0021,286088.72391982423,-286088.72391982423,"(-127708.19, 339694.345]"
213,60.79,8.03,16.87,-819157.24,26101.3,-793055.93,-2.4737,793055.93,0.006079,-793042.069348245,793042.069348245,"(-1062513.261, -595110.726]"
214,102.07,-29.86,28.55,-1375340.4,73578.01,-1301762.39,-4.0605,1301762.39,0.010206999999999999,-1301805.4376279826,1301805.4376279826,"(-1529915.797, -1062513.261]"
215,133.08,42.02,-21.26,-1793307.29,125094.17,-1668213.12,-5.2035,1668213.12,0.013308,-1668161.280399682,1668161.280399682,"(-1997318.332, -1529915.797]"
216,31.77,-53.65,76.66,-428130.33,7129.84,-421000.49,-1.3132,421000.49,0.003177,-420970.4539061887,420970.4539061887,"(-595110.726, -127708.19]"
217,-269.28,0.67,-5.49,3628586.76,512156.46,4140743.21,12.9159,4140743.21,-0.026927999999999997,4140675.7372001507,-4140675.7372001507,"(4078914.63, 4546317.166]"
218,92.79,-97.71,27.55,-1250283.29,60805.73,-1189477.56,-3.7102,1189477.56,0.009279,-1189529.6660461067,1189529.6660461067,"(-1529915.797, -1062513.261]"
219,-15.6,93.74,32.42,210264.79,1719.73,211984.52,0.6612,211984.52,-0.00156,211928.07621105373,-211928.07621105373,"(-127708.19, 339694.345]"
220,-53.61,-27.61,7.07,722339.03,20295.97,742634.99,2.3164,742634.99,-0.005361,742691.1010257123,-742691.1010257123,"(339694.345, 807096.881]"
221,-9.58,-57.93,36.35,129105.23,648.36,129753.58,0.4047,129753.58,-0.000958,129738.24821562522,-129738.24821562522,"(-127708.19, 339694.345]"
222,-39.32,62.95,-19.89,529861.6,10920.75,540782.35,1.6868,540782.35,-0.003932,540754.7593049536,-540754.7593049536,"(339694.345, 807096.881]"
223,-60.17,11.91,17.97,810748.81,25568.21,836317.02,2.6087,836317.02,-0.006017,836358.4893157997,-836358.4893157997,"(807096.881, 1274499.417]"
224,21.38,-29.36,3.33,-288136.33,3229.41,-284906.91,-0.8887,284906.91,0.0021379999999999997,-284866.0146663521,284866.0146663521,"(-595110.726, -127708.19]"
225,-48.61,5.09,27.73,655000.59,16688.26,671688.85,2.0951,671688.85,-0.004861,671706.5082480158,-671706.5082480158,"(339694.345, 807096.881]"
226,-71.53,-139.89,32.31,963910.81,36141.1,1000051.9,3.1194,1000051.9,-0.0071530000000000005,1000000.7871245322,-1000000.7871245322,"(807096.881, 1274499.417]"
227,-102.65,-20.64,36.39,1383192.71,74420.57,1457613.29,4.5466,1457613.29,-0.010265,1457625.4411061164,-1457625.4411061164,"(1274499.417, 1741901.952]"
228,103.58,27.72,22.31,-1395797.47,75783.11,-1320014.36,-4.1174,1320014.36,0.010358,-1319959.3733028625,1319959.3733028625,"(-1529915.797, -1062513.261]"
229,23.43,39.16,25.41,-315777.19,3878.73,-311898.46,-0.9729,311898.46,0.002343,-311840.8686275107,311840.8686275107,"(-595110.726, -127708.19]"
230,-143.33,28.34,-34.67,1931427.29,145105.66,2076532.95,6.4772,2076532.95,-0.014333000000000002,2076460.83659231,-2076460.83659231,"(1741901.952, 2209304.488]"
231,-35.87,-29.53,2.73,483343.78,9087.41,492431.19,1.536,492431.19,-0.003587,492434.02727597294,-492434.02727597294,"(339694.345, 807096.881]"
232,-0.11,3.33,-18.83,1536.21,0.09,1536.3,0.0048,1536.3,-1.1e-05,1482.3302223329983,-1482.3302223329983,"(-127708.19, 339694.345]"
233,65.97,-18.02,-13.35,-888957.48,30738.99,-858218.49,-2.677,858218.49,0.0065969999999999996,-858204.7261057275,858204.7261057275,"(-1062513.261, -595110.726]"
234,0.53,-19.4,21.6,-7119.17,1.97,-7117.2,-0.0222,7117.2,5.3e-05,-7139.740801591419,7139.740801591419,"(-127708.19, 339694.345]"
235,50.66,-2.98,-48.37,-682629.26,18125.81,-664503.45,-2.0727,664503.45,0.005065999999999999,-664514.6964020353,664514.6964020353,"(-1062513.261, -595110.726]"
236,164.17,34.75,16.4,-2212162.03,190353.78,-2021808.25,-6.3065,2021808.25,0.016416999999999998,-2021826.05475797,2021826.05475797,"(-2464720.868, -1997318.332]"
237,109.23,10.02,-9.01,-1471850.84,84266.55,-1387584.29,-4.3282,1387584.29,0.010923,-1387600.6299723552,1387600.6299723552,"(-1529915.797, -1062513.261]"
238,-110.32,-27.41,-17.16,1486607.88,85964.77,1572572.65,4.9052,1572572.65,-0.011032,1572515.3757272868,-1572515.3757272868,"(1274499.417, 1741901.952]"
239,-48.84,-37.44,40.29,658184.13,16850.87,675035.0,2.1056,675035.0,-0.004884,674964.0508453471,-674964.0508453471,"(339694.345, 807096.881]"
240,37.96,-116.12,21.15,-511558.61,10179.31,-501379.3,-1.5639,501379.3,0.003796,-501331.87339961634,501331.87339961634,"(-595110.726, -127708.19]"
241,217.89,-0.12,4.6,-2936086.23,335324.47,-2600761.77,-8.1123,2600761.77,0.021789,-2600740.372926347,2600740.372926347,"(-2932123.404, -2464720.868]"
242,-50.35,58.73,-40.86,678408.21,17902.34,696310.55,2.1719,696310.55,-0.005035,696369.083132759,-696369.083132759,"(339694.345, 807096.881]"
243,-36.78,87.54,-1.47,495578.29,9553.27,505131.57,1.5756,505131.57,-0.0036780000000000003,505163.1706153999,-505163.1706153999,"(339694.345, 807096.881]"
244,-125.78,-17.64,-7.92,1694855.1,111735.91,1806591.01,5.6351,1806591.01,-0.012578,1806618.3495778951,-1806618.3495778951,"(1741901.952, 2209304.488]"
245,-2.4,37.03,3.96,32391.33,40.81,32432.15,0.1012,32432.15,-0.00023999999999999998,32380.567817755233,-32380.567817755233,"(-127708.19, 339694.345]"
246,-100.03,33.88,2.63,1347919.05,70673.28,1418592.34,4.4249,1418592.34,-0.010003,1418570.531395529,-1418570.531395529,"(1274499.417, 1741901.952]"
247,-77.57,32.71,-44.89,1045300.97,42502.1,1087803.07,3.3931,1087803.07,-0.007756999999999999,1087750.062474566,-1087750.062474566,"(807096.881, 1274499.417]"
248,-198.44,23.86,20.82,2673976.78,278126.84,2952103.62,9.2082,2952103.62,-0.019844,2952094.155359486,-2952094.155359486,"(2676707.023, 3144109.559]"
249,51.5,-77.42,57.21,-693923.29,18730.55,-675192.74,-2.1061,675192.74,0.00515,-675227.5607799861,675227.5607799861,"(-1062513.261, -595110.726]"
250,-102.2,-37.53,-17.13,1377177.45,73774.7,1450952.14,4.5258,1450952.14,-0.01022,1450910.6398777256,-1450910.6398777256,"(1274499.417, 1741901.952]"
251,78.78,27.17,10.09,-1061572.32,43835.58,-1017736.74,-3.1745,1017736.74,0.007878,-1017722.5641925804,1017722.5641925804,"(-1062513.261, -595110.726]"
252,103.25,-30.16,15.34,-1391257.95,75290.98,-1315966.97,-4.1048,1315966.97,0.010325,-1315994.7071771696,1315994.7071771696,"(-1529915.797, -1062513.261]"
253,-35.13,-12.82,-25.41,473331.59,8714.82,482046.41,1.5036,482046.41,-0.003513,482091.4795287439,-482091.4795287439,"(339694.345, 807096.881]"
254,44.83,27.48,39.0,-604025.77,14191.84,-589833.94,-1.8398,589833.94,0.004483,-589887.6689360427,589887.6689360427,"(-595110.726, -127708.19]"
255,100.12,33.09,44.43,-1349175.82,70805.13,-1278370.69,-3.9875,1278370.69,0.010012,-1278313.9602542287,1278313.9602542287,"(-1529915.797, -1062513.261]"
256,-25.11,-47.43,-37.96,338356.77,4453.25,342810.02,1.0693,342810.02,-0.0025109999999999998,342809.276790419,-342809.276790419,"(339694.345, 807096.881]"
257,110.98,-25.83,-7.56,-1495456.89,86991.22,-1408465.67,-4.3933,1408465.67,0.011098,-1408459.9975676255,1408459.9975676255,"(-1529915.797, -1062513.261]"
258,-33.45,-19.91,2.42,450726.43,7902.3,458628.73,1.4306,458628.73,-0.0033450000000000003,458639.8156479395,-458639.8156479395,"(339694.345, 807096.881]"
259,26.9,-40.07,45.33,-362464.71,5110.45,-357354.26,-1.1147,357354.26,0.0026899999999999997,-357365.45841807575,357365.45841807575,"(-595110.726, -127708.19]"
260,-15.06,-11.78,21.56,202982.64,1602.67,204585.32,0.6381,204585.32,-0.001506,204534.66628960884,-204534.66628960884,"(-127708.19, 339694.345]"
261,-116.52,28.44,-63.57,1570104.67,95892.54,1665997.21,5.1966,1665997.21,-0.011652,1665993.3519178643,-1665993.3519178643,"(1274499.417, 1741901.952]"
262,-70.32,-59.57,-3.02,947568.72,34926.02,982494.73,3.0646,982494.73,-0.007031999999999999,982483.8349963018,-982483.8349963018,"(807096.881, 1274499.417]"
263,-95.51,29.05,-10.19,1286946.33,64424.12,1351370.45,4.2152,1351370.45,-0.009551,1351421.2973840998,-1351421.2973840998,"(1274499.417, 1741901.952]"
264,-179.89,-40.83,31.39,2424046.83,228564.96,2652611.79,8.2741,2652611.79,-0.017988999999999998,2652566.4423099156,-2652566.4423099156,"(2209304.488, 2676707.023]"
265,2.12,-8.99,-1.99,-28529.02,31.66,-28497.36,-0.0889,28497.36,0.000212,-28535.155697179398,28535.155697179398,"(-127708.19, 339694.345]"
266,-111.29,21.68,-56.24,1499694.24,87484.9,1587179.13,4.9508,1587179.13,-0.011129,1587104.3252470149,-1587104.3252470149,"(1274499.417, 1741901.952]"
267,99.59,14.55,-7.36,-1341983.27,70052.21,-1271931.06,-3.9674,1271931.06,0.009959,-1271919.813741902,1271919.813741902,"(-1529915.797, -1062513.261]"
268,-83.27,-13.64,-49.82,1122032.68,48970.96,1171003.64,3.6526,1171003.64,-0.008327,1171032.4419561184,-1171032.4419561184,"(807096.881, 1274499.417]"
269,-172.72,28.09,-36.44,2327368.47,210696.79,2538065.26,7.9168,2538065.26,-0.017272,2538094.598817325,-2538094.598817325,"(2209304.488, 2676707.023]"
270,187.88,12.68,-19.21,-2531628.55,249303.06,-2282325.5,-7.1191,2282325.5,0.018788,-2282362.686849175,2282362.686849175,"(-2464720.868, -1997318.332]"
271,250.23,66.97,-2.63,-3371831.55,442241.38,-2929590.18,-9.138,2929590.18,0.025023,-2929595.596701438,2929595.596701438,"(-2932123.404, -2464720.868]"
272,149.35,-8.7,2.3,-2012434.81,157532.9,-1854901.91,-5.7858,1854901.91,0.014934999999999999,-1854943.9244289729,1854943.9244289729,"(-1997318.332, -1529915.797]"
273,-12.93,5.02,-18.59,174208.07,1180.5,175388.57,0.5471,175388.57,-0.0012929999999999999,175411.9388254925,-175411.9388254925,"(-127708.19, 339694.345]"
274,-92.15,-60.58,24.67,1241738.27,59977.42,1301715.68,4.0603,1301715.68,-0.009215000000000001,1301692.0547264686,-1301692.0547264686,"(1274499.417, 1741901.952]"
275,-5.81,-80.39,-17.9,78352.56,238.8,78591.36,0.2451,78591.36,-0.0005809999999999999,78527.88813574398,-78527.88813574398,"(-127708.19, 339694.345]"
276,173.17,-56.9,-30.77,-2333481.15,211805.01,-2121676.14,-6.618,2121676.14,0.017317,-2121657.340791496,2121657.340791496,"(-2464720.868, -1997318.332]"
277,145.95,-17.21,4.33,-1966623.08,150442.28,-1816180.81,-5.6651,1816180.81,0.014594999999999999,-1816220.3452038765,1816220.3452038765,"(-1997318.332, -1529915.797]"
278,-40.33,21.5,14.65,543437.65,11487.54,554925.19,1.7309,554925.19,-0.004033,554932.6440683701,-554932.6440683701,"(339694.345, 807096.881]"
279,62.15,-70.63,2.65,-837481.85,27282.14,-810199.71,-2.5272,810199.71,0.006215,-810187.1046651237,810187.1046651237,"(-1062513.261, -595110.726]"
280,21.58,-27.81,1.99,-290806.12,3289.54,-287516.58,-0.8968,287516.58,0.0021579999999999998,-287500.3209962054,287500.3209962054,"(-595110.726, -127708.19]"
281,9.92,95.94,23.46,-133651.41,694.82,-132956.59,-0.4147,132956.59,0.000992,-132976.496365751,132976.496365751,"(-595110.726, -127708.19]"
282,-96.73,73.45,26.47,1303405.98,66082.59,1369488.57,4.2717,1369488.57,-0.009673000000000001,1369517.2130580146,-1369517.2130580146,"(1274499.417, 1741901.952]"
283,62.51,41.99,48.15,-842262.51,27594.5,-814668.01,-2.5411,814668.01,0.006251,-814721.1230399363,814721.1230399363,"(-1062513.261, -595110.726]"
284,144.14,-3.82,-32.49,-1942335.19,146749.28,-1795585.91,-5.6008,1795585.91,0.014413999999999998,-1795539.130376525,1795539.130376525,"(-1997318.332, -1529915.797]"
285,-19.82,0.93,-21.25,267120.48,2775.5,269895.99,0.8419,269895.99,-0.001982,269848.0788018969,-269848.0788018969,"(-127708.19, 339694.345]"
286,23.25,-26.14,54.2,-313337.95,3819.03,-309518.92,-0.9655,309518.92,0.002325,-309474.72222581034,309474.72222581034,"(-595110.726, -127708.19]"
287,-70.07,28.35,46.5,944243.8,34681.34,978925.14,3.0535,978925.14,-0.007006999999999999,978867.2079572717,-978867.2079572717,"(807096.881, 1274499.417]"
288,116.63,-47.14,12.92,-1571580.99,96072.96,-1475508.03,-4.6024,1475508.03,0.011663,-1475510.6573704523,1475510.6573704523,"(-1529915.797, -1062513.261]"
289,-131.43,1.77,-13.25,1771010.32,122002.8,1893013.12,5.9047,1893013.12,-0.013143,1893015.845387268,-1893015.845387268,"(1741901.952, 2209304.488]"
290,-369.78,49.15,6.99,4982794.41,965769.69,5948564.1,18.5549,5948564.1,-0.036978,5948524.7724460345,-5948524.7724460345,"(5481122.237, 5948524.772]"
291,-160.03,-6.73,59.79,2156433.8,180883.89,2337317.69,7.2906,2337317.69,-0.016003,2337273.8122245534,-2337273.8122245534,"(2209304.488, 2676707.023]"
292,-85.83,24.47,-16.11,1156596.67,52034.51,1208631.18,3.77,1208631.18,-0.008583,1208585.8065462334,-1208585.8065462334,"(807096.881, 1274499.417]"
293,18.19,3.65,-33.78,-245096.89,2336.7,-242760.19,-0.7572,242760.19,0.001819,-242772.4501644624,242772.4501644624,"(-595110.726, -127708.19]"
294,-58.63,-8.09,43.1,790003.84,24276.5,814280.34,2.5399,814280.34,-0.005863,814314.8971665315,-814314.8971665315,"(807096.881, 1274499.417]"
295,38.26,-16.0,-31.02,-515486.71,10336.24,-505150.47,-1.5757,505150.47,0.003826,-505212.8596160468,505212.8596160468,"(-595110.726, -127708.19]"
296,-100.44,-50.73,10.25,1353478.33,71257.44,1424735.77,4.4441,1424735.77,-0.010043999999999999,1424675.7779086032,-1424675.7779086032,"(1274499.417, 1741901.952]"
297,85.1,68.31,-31.61,-1146780.43,51155.01,-1095625.42,-3.4175,1095625.42,0.00851,-1095569.1002061286,1095569.1002061286,"(-1529915.797, -1062513.261]"
298,20.62,-66.48,-1.92,-277892.3,3003.87,-274888.44,-0.8574,274888.44,0.002062,-274850.4975457735,274850.4975457735,"(-595110.726, -127708.19]"
299,-89.68,-103.57,28.78,1208451.26,56804.91,1265256.18,3.9466,1265256.18,-0.008968,1265236.8472038836,-1265236.8472038836,"(807096.881, 1274499.417]"
300,-126.17,-101.58,12.24,1700136.35,112433.35,1812569.7,5.6538,1812569.7,-0.012617,1812567.581763968,-1812567.581763968,"(1741901.952, 2209304.488]"
301,-16.8,-49.03,-61.89,226381.84,1993.48,228375.32,0.7124,228375.32,-0.00168,228372.62330098814,-228372.62330098814,"(-127708.19, 339694.345]"
302,118.78,-27.17,-23.2,-1600511.46,99642.64,-1500868.82,-4.6815,1500868.82,0.011878,-1500907.0659506004,1500907.0659506004,"(-1529915.797, -1062513.261]"
303,-262.01,23.01,10.73,3530610.22,484872.08,4015482.31,12.5252,4015482.31,-0.026201,4015432.6662039324,-4015432.6662039324,"(3611512.095, 4078914.63]"
304,58.0,-7.73,-11.86,-781518.42,23757.79,-757760.63,-2.3636,757760.63,0.0058,-757787.7562658055,757787.7562658055,"(-1062513.261, -595110.726]"
305,-61.34,3.31,19.39,826514.35,26572.26,853086.6,2.661,853086.6,-0.0061340000000000006,853128.2879705648,-853128.2879705648,"(807096.881, 1274499.417]"
306,96.82,32.3,-69.16,-1304683.33,66212.18,-1238471.16,-3.8631,1238471.16,0.009682,-1238436.7882350683,1238436.7882350683,"(-1529915.797, -1062513.261]"
307,-73.09,1.44,-106.74,984864.8,37729.48,1022594.29,3.1897,1022594.29,-0.007309,1022615.1462891684,-1022615.1462891684,"(807096.881, 1274499.417]"
308,-132.74,-24.55,18.08,1788621.87,124441.35,1913063.22,5.9673,1913063.22,-0.013274000000000001,1913112.2275296224,-1913112.2275296224,"(1741901.952, 2209304.488]"
309,-27.46,-27.78,22.54,370073.45,5327.26,375400.71,1.171,375400.71,-0.002746,375347.9578318323,-375347.9578318323,"(339694.345, 807096.881]"
310,-91.43,15.86,-25.52,1232034.44,59043.67,1291078.11,4.0272,1291078.11,-0.009143,1291056.5363182647,-1291056.5363182647,"(1274499.417, 1741901.952]"
311,54.09,23.53,-32.04,-728890.07,20665.78,-708224.3,-2.2091,708224.3,0.005409000000000001,-708196.148228069,708196.148228069,"(-1062513.261, -595110.726]"
312,-43.83,87.58,-2.09,590563.5,13566.28,604129.79,1.8844,604129.79,-0.004383,604175.4152440188,-604175.4152440188,"(339694.345, 807096.881]"
313,20.82,-85.1,-59.82,-280568.02,3061.99,-277506.03,-0.8656,277506.03,0.002082,-277486.9509869335,277486.9509869335,"(-595110.726, -127708.19]"
314,-74.66,61.53,-48.59,1006019.92,39367.77,1045387.69,3.2608,1045387.69,-0.0074659999999999995,1045409.1769251041,-1045409.1769251041,"(807096.881, 1274499.417]"
315,-37.19,-14.29,68.93,501066.82,9766.05,510832.87,1.5934,510832.87,-0.0037189999999999996,510902.1015760989,-510902.1015760989,"(339694.345, 807096.881]"
316,75.33,38.84,-73.31,-1015132.92,40084.22,-975048.7,-3.0414,975048.7,0.007533,-974989.1596243302,974989.1596243302,"(-1062513.261, -595110.726]"
317,9.82,-135.47,8.13,-132289.94,680.74,-131609.2,-0.4105,131609.2,0.000982,-131642.94322564616,131642.94322564616,"(-595110.726, -127708.19]"
318,-134.46,14.59,-10.8,1811875.39,127698.06,1939573.45,6.0499,1939573.45,-0.013446000000000001,1939535.125893219,-1939535.125893219,"(1741901.952, 2209304.488]"
319,-109.94,-22.76,7.49,1481372.32,85360.33,1566732.65,4.887,1566732.65,-0.010994,1566803.7404028783,-1566803.7404028783,"(1274499.417, 1741901.952]"
320,43.47,13.11,27.31,-585756.62,13346.34,-572410.29,-1.7855,572410.29,0.004347,-572409.8991701402,572409.8991701402,"(-595110.726, -127708.19]"
321,-21.28,-77.75,2.65,286802.2,3199.58,290001.78,0.9046,290001.78,-0.002128,289945.3236203666,-289945.3236203666,"(-127708.19, 339694.345]"
322,-117.14,19.88,-12.62,1578403.66,96908.93,1675312.59,5.2257,1675312.59,-0.011714,1675371.0141601108,-1675371.0141601108,"(1274499.417, 1741901.952]"
323,-121.2,69.85,14.43,1633144.64,103747.33,1736891.97,5.4177,1736891.97,-0.01212,1736913.7766921036,-1736913.7766921036,"(1274499.417, 1741901.952]"
324,46.88,84.07,-9.74,-631737.74,15523.92,-616213.82,-1.9221,616213.82,0.004688,-616183.4636321263,616183.4636321263,"(-1062513.261, -595110.726]"
325,189.61,3.93,-24.33,-2554986.59,253924.66,-2301061.93,-7.1775,2301061.93,0.018961000000000002,-2301061.8953471584,2301061.8953471584,"(-2464720.868, -1997318.332]"
326,13.54,18.67,20.77,-182480.27,1295.27,-181185.01,-0.5652,181185.01,0.001354,-181156.00865695116,181156.00865695116,"(-595110.726, -127708.19]"
327,-22.46,-50.54,-15.47,302680.98,3563.67,306244.65,0.9552,306244.65,-0.002246,306210.3045498676,-306210.3045498676,"(-127708.19, 339694.345]"
328,-54.53,1.24,-36.84,734777.8,21000.99,755778.78,2.3574,755778.78,-0.005453,755790.733290956,-755790.733290956,"(339694.345, 807096.881]"
